GEO.id,GEO.id2,GEO.display-label,HC02_EST_VC02,HC02_EST_VC36
Id,Id2,Geography,Median income (dollars); Estimate; Households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder
8600000US00962,00962,ZCTA5 00962,15565,9723
8600000US00965,00965,ZCTA5 00965,14874,8344
8600000US00966,00966,ZCTA5 00966,52813,34000
8600000US00968,00968,ZCTA5 00968,40000,38922
8600000US00969,00969,ZCTA5 00969,50728,38212
8600000US00971,00971,ZCTA5 00971,22550,16343
8600000US00976,00976,ZCTA5 00976,30525,16563
8600000US00979,00979,ZCTA5 00979,39747,41375
8600000US00982,00982,ZCTA5 00982,25489,26551
8600000US00983,00983,ZCTA5 00983,27121,14748
8600000US00985,00985,ZCTA5 00985,26653,12820
8600000US00987,00987,ZCTA5 00987,32364,18309
8600000US01001,01001,ZCTA5 01001,63682,52157
8600000US01002,01002,ZCTA5 01002,56175,30200
8600000US01003,01003,ZCTA5 01003,165865,-
8600000US01005,01005,ZCTA5 01005,75856,50331
8600000US01007,01007,ZCTA5 01007,77617,46698
8600000US01008,01008,ZCTA5 01008,78313,70313
8600000US01009,01009,ZCTA5 01009,48472,27984
8600000US01010,01010,ZCTA5 01010,79891,40433
8600000US01011,01011,ZCTA5 01011,59732,40625
8600000US01012,01012,ZCTA5 01012,56033,46389
8600000US01013,01013,ZCTA5 01013,41612,30957
8600000US01020,01020,ZCTA5 01020,51438,39872
8600000US01022,01022,ZCTA5 01022,57750,21071
8600000US01026,01026,ZCTA5 01026,51932,31250
8600000US01027,01027,ZCTA5 01027,57134,38400
8600000US01028,01028,ZCTA5 01028,82451,47422
8600000US01029,01029,ZCTA5 01029,61250,41111
8600000US01030,01030,ZCTA5 01030,73611,38625
8600000US01031,01031,ZCTA5 01031,46650,45417
8600000US01032,01032,ZCTA5 01032,65833,61667
8600000US01033,01033,ZCTA5 01033,72731,70536
8600000US01034,01034,ZCTA5 01034,70625,37500
8600000US01035,01035,ZCTA5 01035,77891,61818
8600000US01036,01036,ZCTA5 01036,82417,36364
8600000US01037,01037,ZCTA5 01037,115250,79167
8600000US01038,01038,ZCTA5 01038,61346,31777
8600000US01039,01039,ZCTA5 01039,74464,43125
8600000US01040,01040,ZCTA5 01040,34961,25000
8600000US01050,01050,ZCTA5 01050,64271,33229
8600000US01053,01053,ZCTA5 01053,67031,24914
8600000US01054,01054,ZCTA5 01054,76875,61250
8600000US01056,01056,ZCTA5 01056,60774,51424
8600000US01057,01057,ZCTA5 01057,64538,41424
8600000US01060,01060,ZCTA5 01060,50807,32472
8600000US01062,01062,ZCTA5 01062,63954,48844
8600000US01063,01063,ZCTA5 01063,-,-
8600000US01066,01066,ZCTA5 01066,-,-
8600000US01068,01068,ZCTA5 01068,83519,52917
8600000US01069,01069,ZCTA5 01069,52347,31319
8600000US01070,01070,ZCTA5 01070,57000,47500
8600000US01071,01071,ZCTA5 01071,72083,49219
8600000US01072,01072,ZCTA5 01072,65500,47083
8600000US01073,01073,ZCTA5 01073,76264,29861
8600000US01074,01074,ZCTA5 01074,77159,-
8600000US01075,01075,ZCTA5 01075,60931,40880
8600000US01077,01077,ZCTA5 01077,75743,52391
8600000US01079,01079,ZCTA5 01079,41250,79095
8600000US01080,01080,ZCTA5 01080,38173,36250
8600000US01081,01081,ZCTA5 01081,61447,50139
8600000US01082,01082,ZCTA5 01082,53362,33239
8600000US01083,01083,ZCTA5 01083,39833,34176
8600000US01084,01084,ZCTA5 01084,66250,45417
8600000US01085,01085,ZCTA5 01085,57374,29483
8600000US01086,01086,ZCTA5 01086,-,-
8600000US01088,01088,ZCTA5 01088,31897,46071
