GEO.id,GEO.id2,GEO.display-label,HC02_EST_VC02,HC02_EST_VC10,HC02_EST_VC22,HC02_EST_VC30
Id,Id2,Geography,Median income (dollars); Estimate; Households,Median income (dollars); Estimate; Households - Two or more races,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households
8600000US00601,00601,ZCTA5 00601,10833,"2,500-",13820,6911
8600000US00602,00602,ZCTA5 00602,16353,16238,18827,9648
8600000US00603,00603,ZCTA5 00603,16323,19665,20497,10216
8600000US00606,00606,ZCTA5 00606,14138,8333,16436,8293
8600000US00610,00610,ZCTA5 00610,17265,17241,20497,10434
8600000US00612,00612,ZCTA5 00612,17752,26202,20818,9547
8600000US00616,00616,ZCTA5 00616,15115,15865,19953,6545
8600000US00617,00617,ZCTA5 00617,15461,4318,17650,9082
8600000US00622,00622,ZCTA5 00622,14993,-,21922,7992
8600000US00623,00623,ZCTA5 00623,17044,36295,21159,10000
8600000US00624,00624,ZCTA5 00624,15467,31875,16606,10252
8600000US00627,00627,ZCTA5 00627,19490,27813,22555,9248
8600000US00631,00631,ZCTA5 00631,9613,-,14116,4653
8600000US00637,00637,ZCTA5 00637,14977,13860,19379,7973
8600000US00638,00638,ZCTA5 00638,12588,7411,16069,8594
8600000US00641,00641,ZCTA5 00641,15542,17679,19019,8006
8600000US00646,00646,ZCTA5 00646,27924,23628,33717,14324
8600000US00647,00647,ZCTA5 00647,13668,23672,16406,8821
8600000US00650,00650,ZCTA5 00650,15090,-,17743,10179
8600000US00652,00652,ZCTA5 00652,14903,-,21735,9146
8600000US00653,00653,ZCTA5 00653,13596,17750,14244,9490
8600000US00656,00656,ZCTA5 00656,15440,21583,18045,8905
8600000US00659,00659,ZCTA5 00659,19130,15605,21728,11392
8600000US00660,00660,ZCTA5 00660,21323,21126,26668,9790
8600000US00662,00662,ZCTA5 00662,16050,23667,18042,9111
8600000US00664,00664,ZCTA5 00664,15976,23043,19092,7613
8600000US00667,00667,ZCTA5 00667,13527,31484,15672,10268
8600000US00669,00669,ZCTA5 00669,11967,22448,14500,6872
8600000US00670,00670,ZCTA5 00670,14989,-,20283,6320
8600000US00674,00674,ZCTA5 00674,18796,21061,23331,10448
8600000US00676,00676,ZCTA5 00676,15277,22404,18263,8527
8600000US00677,00677,ZCTA5 00677,16737,14353,19433,11866
8600000US00678,00678,ZCTA5 00678,14824,15139,16912,8867
8600000US00680,00680,ZCTA5 00680,15173,15328,19571,9212
8600000US00682,00682,ZCTA5 00682,15868,11242,21572,7446
8600000US00683,00683,ZCTA5 00683,15030,8750,20973,10015
8600000US00685,00685,ZCTA5 00685,14686,14333,17170,8236
8600000US00687,00687,ZCTA5 00687,16086,16138,18649,9069
8600000US00688,00688,ZCTA5 00688,14135,33182,16202,8940
8600000US00690,00690,ZCTA5 00690,19688,28902,19913,13333
8600000US00692,00692,ZCTA5 00692,18003,17046,20586,10968
8600000US00693,00693,ZCTA5 00693,16709,36778,19749,10121
8600000US00694,00694,ZCTA5 00694,11250,-,-,12266
8600000US00698,00698,ZCTA5 00698,15414,12500,19031,7324
8600000US00703,00703,ZCTA5 00703,14968,17198,17557,6880
8600000US00704,00704,ZCTA5 00704,12341,6827,14212,10604
