GEO.id,GEO.id2,GEO.display-label,HC02_EST_VC02,HC02_EST_VC10,HC02_EST_VC22,HC02_EST_VC30
Id,Id2,Geography,Median income (dollars); Estimate; Households,Median income (dollars); Estimate; Households - Two or more races,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households
8600000US00601,00601,ZCTA5 00601,10816,"2,500-",13042,7512
8600000US00602,00602,ZCTA5 00602,16079,15754,18596,9440
8600000US00603,00603,ZCTA5 00603,16804,19186,20677,10993
8600000US00606,00606,ZCTA5 00606,12512,8594,15180,7345
8600000US00610,00610,ZCTA5 00610,17475,19355,20270,11334
8600000US00612,00612,ZCTA5 00612,17229,23947,20550,9466
8600000US00616,00616,ZCTA5 00616,13705,15714,18516,6388
8600000US00617,00617,ZCTA5 00617,15361,8250,17350,8859
8600000US00622,00622,ZCTA5 00622,15689,-,22324,8714
8600000US00623,00623,ZCTA5 00623,16593,36759,21024,9299
8600000US00624,00624,ZCTA5 00624,15573,34375,16860,10427
8600000US00627,00627,ZCTA5 00627,17532,32688,20880,9725
8600000US00631,00631,ZCTA5 00631,7854,-,13063,5551
8600000US00637,00637,ZCTA5 00637,14767,15179,19588,8348
8600000US00638,00638,ZCTA5 00638,12722,(X),16397,8820
8600000US00641,00641,ZCTA5 00641,16022,25238,19270,8924
8600000US00646,00646,ZCTA5 00646,26861,24327,32036,14615
8600000US00647,00647,ZCTA5 00647,13764,23661,15371,9175
8600000US00650,00650,ZCTA5 00650,14611,-,17998,10192
8600000US00652,00652,ZCTA5 00652,17500,-,23537,9898
8600000US00653,00653,ZCTA5 00653,13593,18750,14758,7899
8600000US00656,00656,ZCTA5 00656,15037,20391,17395,9797
8600000US00659,00659,ZCTA5 00659,18687,13704,22286,9810
8600000US00660,00660,ZCTA5 00660,20598,20740,25675,10061
8600000US00662,00662,ZCTA5 00662,16016,25442,17781,9249
8600000US00664,00664,ZCTA5 00664,15922,23052,19053,8984
8600000US00667,00667,ZCTA5 00667,13222,32266,15318,10087
8600000US00669,00669,ZCTA5 00669,12009,(X),14398,6997
8600000US00670,00670,ZCTA5 00670,14031,-,18791,5105
8600000US00674,00674,ZCTA5 00674,18135,22300,23280,9807
8600000US00676,00676,ZCTA5 00676,14374,15069,17456,8236
8600000US00677,00677,ZCTA5 00677,16792,14848,19534,10162
8600000US00678,00678,ZCTA5 00678,15347,14856,17063,9651
8600000US00680,00680,ZCTA5 00680,14567,15978,19454,9043
8600000US00682,00682,ZCTA5 00682,15363,11295,21121,7037
8600000US00683,00683,ZCTA5 00683,14913,(X),20283,10500
8600000US00685,00685,ZCTA5 00685,14343,15701,16869,7973
8600000US00687,00687,ZCTA5 00687,16536,16575,18809,9536
8600000US00688,00688,ZCTA5 00688,14213,-,17736,8861
8600000US00690,00690,ZCTA5 00690,20274,29556,20504,18750
8600000US00692,00692,ZCTA5 00692,17987,18083,20792,11377
8600000US00693,00693,ZCTA5 00693,17156,35685,20667,9704
8600000US00694,00694,ZCTA5 00694,11198,-,-,11198
8600000US00698,00698,ZCTA5 00698,14766,11424,18536,6862
8600000US00703,00703,ZCTA5 00703,14680,16398,17522,7488
8600000US00704,00704,ZCTA5 00704,13756,(X),18304,10482
8600000US00705,00705,ZCTA5 00705,17238,(X),20724,9263
8600000US00707,00707,ZCTA5 00707,19541,26379,21563,10968
8600000US00714,00714,ZCTA5 00714,15349,27039,17336,8427
8600000US00715,00715,ZCTA5 00715,12027,9500,13699,7798
8600000US00716,00716,ZCTA5 00716,18331,12297,22240,10834
8600000US00717,00717,ZCTA5 00717,11664,11699,15460,8893
8600000US00718,00718,ZCTA5 00718,18614,30750,20822,11623
8600000US00719,00719,ZCTA5 00719,17686,18546,21151,8858
