GEO.id,GEO.id2,GEO.display-label,HC02_EST_VC02,HC02_EST_VC10,HC02_EST_VC22,HC02_EST_VC30
Id,Id2,Geography,Median income (dollars); Estimate; Households,Median income (dollars); Estimate; Households - Two or more races,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households
8600000US00912,00912,ZCTA5 00912,20663,14125,20109,18799
8600000US00913,00913,ZCTA5 00913,6989,4932,6115,6667
8600000US00915,00915,ZCTA5 00915,13573,12750,15949,9514
8600000US00917,00917,ZCTA5 00917,13913,15885,17171,9888
8600000US00918,00918,ZCTA5 00918,21030,-,37463,14471
8600000US00920,00920,ZCTA5 00920,25591,28264,30711,17319
8600000US00921,00921,ZCTA5 00921,18334,17000,21285,12373
8600000US00923,00923,ZCTA5 00923,14631,-,17497,10471
8600000US00924,00924,ZCTA5 00924,18535,18395,23576,11747
8600000US00925,00925,ZCTA5 00925,10247,8884,16688,7894
8600000US00926,00926,ZCTA5 00926,32583,31302,39517,21552
8600000US00927,00927,ZCTA5 00927,32083,34750,43644,20219
8600000US00934,00934,ZCTA5 00934,66063,-,-,-
8600000US00936,00936,ZCTA5 00936,-,-,-,-
8600000US00949,00949,ZCTA5 00949,25226,24676,30290,15703
8600000US00950,00950,ZCTA5 00950,-,-,-,-
8600000US00951,00951,ZCTA5 00951,-,-,-,-
8600000US00952,00952,ZCTA5 00952,16577,18333,21524,8427
8600000US00953,00953,ZCTA5 00953,29793,35222,33436,13520
8600000US00956,00956,ZCTA5 00956,22432,23198,25425,12246
8600000US00957,00957,ZCTA5 00957,23886,20759,26260,14562
8600000US00959,00959,ZCTA5 00959,28215,24685,35264,14167
8600000US00960,00960,ZCTA5 00960,-,-,-,-
8600000US00961,00961,ZCTA5 00961,28203,23742,34741,17379
8600000US00962,00962,ZCTA5 00962,15782,13534,19293,9578
8600000US00965,00965,ZCTA5 00965,15274,8088,18000,11087
8600000US00966,00966,ZCTA5 00966,50570,31719,75148,31259
8600000US00968,00968,ZCTA5 00968,46047,-,80357,28203
8600000US00969,00969,ZCTA5 00969,53175,31680,60978,27660
8600000US00971,00971,ZCTA5 00971,20860,29524,25314,13077
8600000US00976,00976,ZCTA5 00976,30027,30532,34620,16301
8600000US00979,00979,ZCTA5 00979,35251,26833,47844,25033
8600000US00982,00982,ZCTA5 00982,25362,28289,29524,15349
8600000US00983,00983,ZCTA5 00983,27612,31793,30033,15801
8600000US00985,00985,ZCTA5 00985,24091,21738,28991,16081
8600000US00987,00987,ZCTA5 00987,31758,37860,35814,19976
8600000US01001,01001,ZCTA5 01001,56714,48359,82512,33768
8600000US01002,01002,ZCTA5 01002,48923,73500,94489,27251
8600000US01003,01003,ZCTA5 01003,"2,500-",-,-,"2,500-"
8600000US01005,01005,ZCTA5 01005,70568,-,99127,37250
8600000US01007,01007,ZCTA5 01007,80502,-,92100,40827
8600000US01008,01008,ZCTA5 01008,67250,-,72000,55714
8600000US01009,01009,ZCTA5 01009,-,-,57794,-
8600000US01010,01010,ZCTA5 01010,83273,-,95161,36480
8600000US01011,01011,ZCTA5 01011,74722,-,78056,60833
8600000US01012,01012,ZCTA5 01012,60417,-,69327,39773
8600000US01013,01013,ZCTA5 01013,40876,29659,48772,30213
8600000US01020,01020,ZCTA5 01020,57851,24901,70430,36159
8600000US01022,01022,ZCTA5 01022,44701,-,53558,37664
8600000US01026,01026,ZCTA5 01026,50924,-,53958,44063
8600000US01027,01027,ZCTA5 01027,61217,-,74207,38193
8600000US01028,01028,ZCTA5 01028,83003,33438,101563,37841
8600000US01029,01029,ZCTA5 01029,54375,-,53750,43942
8600000US01030,01030,ZCTA5 01030,64874,-,83832,27308
8600000US01031,01031,ZCTA5 01031,39327,-,60167,20417
8600000US01032,01032,ZCTA5 01032,73750,-,80208,35000
8600000US01033,01033,ZCTA5 01033,86951,-,94083,30329
8600000US01034,01034,ZCTA5 01034,82159,-,85602,51250
8600000US01035,01035,ZCTA5 01035,62634,-,93039,47167
8600000US01036,01036,ZCTA5 01036,80375,-,87768,27031
8600000US01037,01037,ZCTA5 01037,80417,-,91953,67734
8600000US01038,01038,ZCTA5 01038,65887,-,77708,46071
8600000US01039,01039,ZCTA5 01039,74107,-,90819,30000
8600000US01040,01040,ZCTA5 01040,38829,34444,45598,25720
8600000US01050,01050,ZCTA5 01050,72386,-,81220,35096
8600000US01053,01053,ZCTA5 01053,66528,-,82604,33611
8600000US01054,01054,ZCTA5 01054,86771,-,99659,45833
