GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_EST_VC10,HC01_EST_VC22,HC01_EST_VC30
Id,Id2,Geography,Total; Estimate; Households,Total; Estimate; Households - Two or more races,Total; Estimate; FAMILIES - Families,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households
8600000US00601,00601,ZCTA5 00601,5780,0.3,4395,1385
8600000US00602,00602,ZCTA5 00602,13133,30.2,10192,2941
8600000US00603,00603,ZCTA5 00603,17594,15.8,12701,4893
8600000US00606,00606,ZCTA5 00606,1820,1.4,1329,491
8600000US00610,00610,ZCTA5 00610,9455,6.0,7101,2354
8600000US00612,00612,ZCTA5 00612,23646,3.6,18036,5610
8600000US00616,00616,ZCTA5 00616,3515,2.5,2609,906
8600000US00617,00617,ZCTA5 00617,8217,1.4,6040,2177
8600000US00622,00622,ZCTA5 00622,2055,0.0,1223,832
8600000US00623,00623,ZCTA5 00623,13763,0.6,9884,3879
8600000US00624,00624,ZCTA5 00624,7986,1.3,6244,1742
8600000US00627,00627,ZCTA5 00627,11321,1.1,9009,2312
8600000US00631,00631,ZCTA5 00631,573,0.0,380,193
8600000US00637,00637,ZCTA5 00637,7163,2.8,5493,1670
8600000US00638,00638,ZCTA5 00638,5734,0.7,4351,1383
8600000US00641,00641,ZCTA5 00641,9658,1.6,7302,2356
8600000US00646,00646,ZCTA5 00646,12124,10.2,9293,2831
8600000US00647,00647,ZCTA5 00647,1759,1.1,1258,501
8600000US00650,00650,ZCTA5 00650,4696,0.4,3739,957
8600000US00652,00652,ZCTA5 00652,1308,0.0,893,415
8600000US00653,00653,ZCTA5 00653,3894,3.0,2914,980
8600000US00656,00656,ZCTA5 00656,6608,2.0,5194,1414
8600000US00659,00659,ZCTA5 00659,13708,2.0,10817,2891
8600000US00660,00660,ZCTA5 00660,6457,29.4,4618,1839
8600000US00662,00662,ZCTA5 00662,14814,3.4,10934,3880
8600000US00664,00664,ZCTA5 00664,4703,11.1,3839,864
8600000US00667,00667,ZCTA5 00667,8249,1.9,6147,2102
8600000US00669,00669,ZCTA5 00669,9751,1.0,7414,2337
8600000US00670,00670,ZCTA5 00670,3216,0.5,2469,747
8600000US00674,00674,ZCTA5 00674,15828,1.2,11399,4429
8600000US00676,00676,ZCTA5 00676,11703,5.8,8935,2768
8600000US00677,00677,ZCTA5 00677,5655,30.2,3917,1738
8600000US00678,00678,ZCTA5 00678,9261,2.3,7101,2160
8600000US00680,00680,ZCTA5 00680,20038,16.1,13339,6699
8600000US00682,00682,ZCTA5 00682,11262,20.1,7130,4132
8600000US00683,00683,ZCTA5 00683,11540,0.8,7699,3841
8600000US00685,00685,ZCTA5 00685,12971,1.3,9700,3271
8600000US00687,00687,ZCTA5 00687,9360,14.7,7364,1996
